doc_id,business_id,business_name,text,original_text,source,tags
rev_1340_2,41556769,Unknown,their cash register system is a hot mess,Their cash register system is a HOT mess,review,temperature
rev_1342_9,50042695,Unknown,3rd avenue faces a lack of good places to sit and eat especially on a hot day and if you are wearing clothes that you dont want to risk getting gyro sauce on,"3rd avenue faces a lack of good places to sit and eat, especially on a hot day and if you are wearing clothes that you don't want to risk getting gyro sauce on",review,temperature
rev_1342_11,50042695,Unknown,they have excellent air conditioning a supply of good napkins clean tables and a nice view of the street,"They have excellent air conditioning, a supply of good napkins, clean tables, and a nice view of the street",review,contamination
rev_1343_4,50056419,Unknown,they always hand back everyones food before mine,They always hand back everyones food before mine,review,contamination
rev_1344_0,41634043,Unknown,open 24 hours right around the corner from my hotel,"Open 24 hours, right around the corner from my hotel",review,temperature
rev_1345_1,50137032,Unknown,only good thing is that its open 24 hours and my wife likes the hot fudge ice cream sundae,Only good thing is that it's open 24 hours and my wife likes the HOT FUDGE ICE CREAM SUNDAE,review,temperature
rev_1347_0,50162796,Unknown,this is a brand new location with much cleaner nicer and more modern furniture than most mcds in the city,"This is a brand new location, with much cleaner, nicer and more modern furniture than most McD's in the city",review,contamination
rev_1348_2,50017938,Unknown,id rather stick a gun in my mouth before eating at this location again,I'd rather stick a gun in my mouth before eating at this location again,review,pests
rev_1351_1,40790306,Unknown,the tables need to be a bit more clean,The tables need to be a bit more clean,review,contamination
rev_1351_2,40790306,Unknown,the outside they should really get someone to get those panhandlers away,The outside they should really get someone to get those panhandlers away,review,contamination
rev_1351_6,40790306,Unknown,there food might come out quick but it isnt exactly at the best temperature,"There food might come out quick, but it isn't exactly at the ""best"" temperature",review,"pests,temperature"
rev_1352_5,50129295,Unknown,its worth a shot,It's worth a shot,review,temperature
rev_1352_15,50129295,Unknown,sometimes they get their signals crossed but in general if watch the counter it doesnt matter where you stand just zoom up into that line where the person is waving,"Sometimes they get their signals crossed, but in general, if watch the counter, it doesn't matter where you stand, just zoom up into that line where the person is waving",review,contamination
rev_1359_7,41156192,Unknown,when a new line opened up the server deliberately ignored me and called out in spanish to a man who had been waiting in another line less than one minute avoiding eye contact with me the whole time,"When a new line opened up, the server deliberately ignored me and called out in Spanish to a man who had been waiting in another line less than one minute, avoiding eye contact with me the whole time",review,pests
rev_1359_14,41156192,Unknown,she handed me the bag with no receipt and no thank you,"She handed me the bag with no receipt and no ""thank you""",review,contamination
rev_1360_1,40577362,Unknown,尉it became patently obvious within one minute of entering this particular mcdonalds that they have a different way of approaching the customer,尉It became patently obvious within one minute of entering this particular McDonald's that they have a different way of approaching the customer,review,pests
rev_1360_13,40577362,Unknown,尉the burger was warm not hot but tasted fine,"尉The burger was warm, not hot, but tasted fine",review,temperature
rev_1363_19,41547684,Unknown,dont tell us to form separate lines when only one of them is moving,Don't tell us to form separate lines when only one of them is moving,review,pests
rev_1365_5,50139126,Unknown,while waiting for my order a man approached me and attempted to talk to me,"While waiting for my order, a man approached me and attempted to talk to me",review,"pests,temperature"
rev_1366_1,50089009,Unknown,尉i actually think that its conveniently located and is also one of the newer cleaner and more modern mcdonalds in the city,"尉I actually think that it's conveniently located and is also one of the newer, cleaner and more modern McDonald's in the city",review,contamination
rev_1369_0,41001677,Unknown,other than the fact that its super conveniently located right outside of 28th street station 6 on park avenue and that it has more electric outlets than your average coffeeshop offerings are the same crappy low class food youll find at any mcdonalds across the nation,"Other than the fact that its super conveniently located right outside of 28th Street Station (6) on Park Avenue and that it has more electric outlets than your average coffeeshop, offerings are the same crappy low class food you'll find at any McDonalds across the nation",review,contamination
rev_1372_3,50114404,Unknown,as its gonna be a long day at work today and this outpost is right across the street from my office and i had a craving for their coffee i jumped in after getting off the subway,As it's gonna be a long day at work today and this outpost is right across the street from my office and I had a craving for their coffee I jumped in after getting off the subway,review,contamination
rev_1372_4,50114404,Unknown,tasty hot cup of coffee,Tasty hot cup of coffee,review,temperature
rev_1373_4,40931929,Unknown,large tv sets glass walls leather seating that was rather modern and artsyarchitectural,"Large TV sets, glass walls, leather seating that was rather modern and artsy-architectural",review,pests
rev_1375_8,50175847,Unknown,objectively speaking i imagined this 64ish looking man was at one point quite educated and maybe even handsome,"Objectively speaking, I imagined this 6'4ish looking man was at one point quite educated and maybe even handsome",review,contamination
rev_1380_1,40395079,Unknown,im rating this a four out of five stars because compared to other mcdonalds i have been in this place is really quite nice,"I'm rating this a four out of five stars because compared to other McDonald's, I have been in, this place is really quite nice",review,pests
rev_1380_3,40395079,Unknown,before it was a pretty terrible place but since the remodel it feels cleaner and strangely enough more trendy,"Before, it was a pretty terrible place, but since the remodel, it feels cleaner and strangely enough, more trendy",review,contamination
rev_1383_2,50092765,Unknown,尉across from them by the window is this guy who is always there on his laptop free wifi maybe,"尉Across from them, by the window, is this guy who is ALWAYS there on his laptop (free Wi-Fi, maybe",review,contamination
rev_1384_0,50158094,Unknown,sometimes a girl just really wants a mcflurry in the middle of a hot summer dull work day,"Sometimes a girl just really wants a McFlurry in the middle of a hot, summer, dull work day",review,temperature
rev_1384_8,50158094,Unknown,尉he just plops down across from me and starts making conversation,尉He just plops down across from me and starts making conversation,review,contamination
